Log:

	PID		PPID		Nome do Programa
	18983		18074		create-zombies
	18984		18074		create-zombies
	18985		18074		create-zombies
	18986		18074		create-zombies
	18987		18074		create-zombies
	18988		18074		create-zombies
	18989		18074		create-zombies
	18990		18074		create-zombies
	18991		18074		create-zombies
	18992		18074		create-zombies
	18993		18074		create-zombies
	18994		18074		create-zombies
	18995		18074		create-zombies
	18996		18074		create-zombies
	18997		18074		create-zombies
	18998		18074		create-zombies
	18999		18074		create-zombies
	19000		18074		create-zombies
	19001		18074		create-zombies
	19002		18074		create-zombies
	19003		18074		create-zombies
	19004		18074		create-zombies
	19005		18074		create-zombies
	19006		18074		create-zombies
	19007		18074		create-zombies
	19008		18074		create-zombies
	19009		18074		create-zombies
	19010		18074		create-zombies
	19011		18074		create-zombies
	19012		18074		create-zombies
	19013		18074		create-zombies
	19014		18074		create-zombies
	19015		18074		create-zombies
	19016		18074		create-zombies
	19017		18074		create-zombies
	19018		18074		create-zombies
	19019		18074		create-zombies
	19020		18074		create-zombies
	19021		18074		create-zombies
	19022		18074		create-zombies
	19023		18074		create-zombies
	19024		18074		create-zombies
	19025		18074		create-zombies
	19026		18074		create-zombies
	19027		18074		create-zombies
	19028		18074		create-zombies
	19029		18074		create-zombies
	19030		18074		create-zombies
	19031		18074		create-zombies
	19032		18074		create-zombies
	19033		18074		create-zombies
	19034		18074		create-zombies
	19035		18074		create-zombies
	19036		18074		create-zombies
	19037		18074		create-zombies
	19038		18074		create-zombies
	19039		18074		create-zombies
	19040		18074		create-zombies
	19041		18074		create-zombies
	19042		18074		create-zombies
	19043		18074		create-zombies
	19044		18074		create-zombies
	19045		18074		create-zombies
	19046		18074		create-zombies
	19047		18074		create-zombies
	19048		18074		create-zombies
	19049		18074		create-zombies
	19050		18074		create-zombies
	19051		18074		create-zombies
	19052		18074		create-zombies
	19053		18074		create-zombies
	19054		18074		create-zombies
	19055		18074		create-zombies
	19056		18074		create-zombies
	19057		18074		create-zombies
	19058		18074		create-zombies
	19059		18074		create-zombies
	19060		18074		create-zombies
	19061		18074		create-zombies
	19062		18074		create-zombies
	19063		18074		create-zombies
	19064		18074		create-zombies
	19065		18074		create-zombies
	19066		18074		create-zombies
	19067		18074		create-zombies
	19068		18074		create-zombies
	19069		18074		create-zombies
	19070		18074		create-zombies
	19071		18074		create-zombies
	19072		18074		create-zombies
	19073		18074		create-zombies
	19074		18074		create-zombies
	19075		18074		create-zombies
	19076		18074		create-zombies
	19077		18074		create-zombies
	19078		18074		create-zombies
	19079		18074		create-zombies
	19080		18074		create-zombies
	19081		18074		create-zombies
	19082		18074		create-zombies
	19083		18074		create-zombies
	19084		18074		create-zombies
	19085		18074		create-zombies
	19086		18074		create-zombies
	19087		18074		create-zombies
	19088		18074		create-zombies
	19089		18074		create-zombies
	19090		18074		create-zombies
	19091		18074		create-zombies
	19092		18074		create-zombies
	19093		18074		create-zombies
	19094		18074		create-zombies
	19095		18074		create-zombies
	19096		18074		create-zombies
	19097		18074		create-zombies
	19098		18074		create-zombies
	19099		18074		create-zombies
	19100		18074		create-zombies
	19101		18074		create-zombies
	19102		18074		create-zombies
	19103		18074		create-zombies
	19104		18074		create-zombies
	19105		18074		create-zombies
	19106		18074		create-zombies
	19107		18074		create-zombies
	19108		18074		create-zombies
	19109		18074		create-zombies
	19110		18074		create-zombies
	19111		18074		create-zombies
	19112		18074		create-zombies
	19113		18074		create-zombies
	19114		18074		create-zombies
	19115		18074		create-zombies
	19116		18074		create-zombies
	19117		18074		create-zombies
	19118		18074		create-zombies
	19119		18074		create-zombies
	19120		18074		create-zombies
	19121		18074		create-zombies
	19122		18074		create-zombies
	19123		18074		create-zombies
	19124		18074		create-zombies
	19125		18074		create-zombies
	19126		18074		create-zombies
	19127		18074		create-zombies
